HDI rank,Country,1990,2000,2010,2015,2020,2021,2022,2023
184,Yemen,0.359,0.439,0.502,0.475,0.459,0.458,0.466,0.470
185,Sierra Leone,0.313,0.318,0.410,0.432,0.454,0.458,0.463,0.467
186,Burkina Faso,..,..,0.377,0.419,0.453,0.454,0.457,0.459
187,Burundi,0.294,0.308,0.416,0.432,0.435,0.435,0.437,0.439
188,Mali,0.240,0.320,0.410,0.413,0.414,0.414,0.417,0.419
188,Niger,0.215,0.266,0.339,0.374,0.404,0.413,0.414,0.419
190,Chad,..,0.303,0.375,0.396,0.408,0.408,0.414,0.416
191,Central African Republic,0.342,0.333,0.358,0.377,0.386,0.339,..,0.414
192,Somalia,..,..,..,..,..,..,0.385,0.404
193,South Sudan,..,..,0.420,0.317,0.398,0.393,0.388,0.388
